DATE,TIME,WT,SC,pH,DO mg/L,DO %sat
8/12/11,3:00:00,16.4,94,7.1,2.8,29
8/12/11,3:15:00,16.2,94,7.1,2.7,28
8/12/11,3:30:00,16.1,94,7.1,2.5,26
8/12/11,3:45:00,16,94,7.1,2.4,24
8/12/11,4:00:00,15.9,94,7.1,2.5,26
8/12/11,4:15:00,15.8,94,7.1,2.4,24
8/12/11,4:30:00,15.7,94,7.1,2.4,25
8/12/11,4:45:00,15.6,94,7.1,2.3,23
8/12/11,5:00:00,15.6,94,7.1,2.4,24
8/12/11,5:15:00,15.5,94,7.1,2.4,24
8/12/11,5:30:00,15.4,94,7.1,2.4,24
8/12/11,5:45:00,15.3,94,7.1,2.5,24
8/12/11,6:00:00,15.2,94,7.1,2.3,23
8/12/11,6:15:00,15.2,94,7.1,2.2,22
8/12/11,6:30:00,15.1,94,7.1,2.1,21
8/12/11,6:45:00,15.1,94,7.1,2.2,22
8/12/11,7:00:00,15,94,7.1,2.1,21
8/12/11,7:15:00,15,94,7.1,2,20
8/12/11,7:30:00,15,94,7.1,2,20
8/12/11,7:45:00,15,94,7.1,2.1,20
8/12/11,8:00:00,15,94,7.1,2,20
8/12/11,8:15:00,15,94,7.1,2,20
8/12/11,8:30:00,15.1,94,7.1,2,20
8/12/11,8:45:00,15.1,94,7.1,1.9,19
8/12/11,9:00:00,15.2,94,7.1,1.9,19
8/12/11,9:15:00,15.4,94,7.1,1.9,19
8/12/11,9:30:00,15.5,94,7.1,1.9,19
8/12/11,9:45:00,15.6,94,7.1,2,20
8/12/11,10:00:00,15.8,94,7.1,2,20
8/12/11,10:15:00,16,94,7.1,2,20
8/12/11,10:30:00,16.2,94,7.1,1.9,19
8/12/11,10:45:00,16.3,94,7.1,2,21
8/12/11,11:00:00,16.5,94,7.2,2.2,22
8/12/11,11:15:00,16.8,94,7.2,2.1,22
8/12/11,11:30:00,17,94,7.2,2.1,22
8/12/11,11:45:00,17.1,93,7.2,2.2,23
8/12/11,12:00:00,17.4,93,7.2,2,21
8/12/11,12:15:00,17.7,93,7.2,2.2,23
8/12/11,12:30:00,18,93,7.2,2.2,23
8/12/11,12:45:00,18.3,93,7.2,2.3,24
8/12/11,13:00:00,18.6,92,7.2,2.2,24
8/12/11,13:15:00,18.9,92,7.2,2.1,23
8/12/11,13:30:00,19.2,92,7.3,2.1,23
8/12/11,13:45:00,19.4,92,7.3,2.1,23
8/12/11,14:00:00,19.6,92,7.3,2.2,24
8/12/11,14:15:00,19.8,91,7.3,2,22
8/12/11,14:30:00,20,91,7.3,2.2,24
8/12/11,14:45:00,20.2,91,7.3,2,22
8/12/11,15:00:00,20.5,91,7.3,2,22
8/12/11,15:15:00,20.6,91,7.4,1.8,20
8/12/11,15:30:00,20.8,91,7.4,1.9,21
8/12/11,15:45:00,20.9,91,7.4,1.8,20
8/12/11,16:00:00,20.9,91,7.4,1.9,21
8/12/11,16:15:00,21,91,7.4,1.9,21
8/12/11,16:30:00,21.1,91,7.4,1.7,19
8/12/11,16:45:00,21.2,91,7.4,1.8,20
8/12/11,17:00:00,21.3,91,7.4,1.8,20
8/12/11,17:15:00,21.3,90,7.4,1.8,21
8/12/11,17:30:00,21.3,90,7.5,1.7,19
8/12/11,17:45:00,21.3,91,7.5,1.6,18
8/12/11,18:00:00,21.3,91,7.5,1.5,16
8/12/11,18:15:00,21.3,91,7.4,1.5,17
8/12/11,18:30:00,21.3,91,7.4,1.4,16
8/12/11,18:45:00,21.2,91,7.4,1.4,16
8/12/11,19:00:00,21.2,91,7.4,1.3,15
8/12/11,19:15:00,21.1,91,7.4,1.3,14
8/12/11,19:30:00,21,91,7.4,1.2,13
8/12/11,19:45:00,20.9,91,7.4,1.1,13
8/12/11,20:00:00,20.8,92,7.4,1.1,13
8/12/11,20:15:00,20.7,92,7.4,1.3,15
8/12/11,20:30:00,20.6,92,7.4,1.3,14
8/12/11,20:45:00,20.4,92,7.4,1.3,15
8/12/11,21:00:00,20.3,93,7.4,1.3,14
8/12/11,21:15:00,20.2,93,7.4,1.1,12
8/12/11,21:30:00,20,93,7.3,1.2,13
8/12/11,21:45:00,19.9,93,7.3,0.3,4
8/12/11,22:00:00,19.7,94,7.3,0.2,2
8/12/11,22:15:00,19.6,94,7.3,0.1,0
8/12/11,22:30:00,19.4,94,7.3,0,0
8/12/11,22:45:00,19.3,94,7.3,0,0
8/12/11,23:00:00,19.1,94,7.3,-0.1,-1
8/12/11,23:15:00,19,95,7.3,-0.1,-2
8/12/11,23:30:00,18.9,95,7.3,-0.2,-2
8/12/11,23:45:00,18.7,95,7.2,-0.3,-4
8/13/11,0:00:00,18.6,95,7.2,-0.3,-4
8/13/11,0:15:00,18.5,96,7.2,-0.4,-5
8/13/11,0:30:00,18.3,96,7.2,-0.5,-5
8/13/11,0:45:00,18.2,96,7.2,-0.6,-6
8/13/11,1:00:00,18.1,96,7.2,-0.6,-6
8/13/11,1:15:00,18,96,7.2,-0.6,-7
8/13/11,1:30:00,17.9,96,7.2,-0.6,-6
8/13/11,1:45:00,17.8,96,7.2,-0.7,-8
8/13/11,2:00:00,17.6,96,7.2,-0.7,-7
8/13/11,2:15:00,17.6,96,7.2,-0.7,-8
8/13/11,2:30:00,17.4,96,7.2,-0.7,-8
8/13/11,2:45:00,17.3,96,7.2,-0.8,-8
8/13/11,3:00:00,17.2,96,7.2,-0.8,-8
8/13/11,3:15:00,17.1,96,7.2,-0.8,-8
8/13/11,3:30:00,17,96,7.2,-0.7,-8
8/13/11,3:45:00,16.9,96,7.2,-0.8,-8
8/13/11,4:00:00,16.8,96,7.2,-0.8,-8
8/13/11,4:15:00,16.7,96,7.2,-0.8,-8
8/13/11,4:30:00,16.6,96,7.2,-0.8,-9
8/13/11,4:45:00,16.5,96,7.1,-0.8,-8
8/13/11,5:00:00,16.4,96,7.1,-0.9,-10
8/13/11,5:15:00,16.3,96,7.1,-0.9,-9
8/13/11,5:30:00,16.2,96,7.1,-1,-10
8/13/11,5:45:00,16.1,96,7.1,-0.9,-10
8/13/11,6:00:00,16.1,96,7.1,-0.9,-9
8/13/11,6:15:00,16,96,7.1,-1,-10
8/13/11,6:30:00,15.9,96,7.1,-1,-10
8/13/11,6:45:00,15.9,96,7.1,-1,-10
8/13/11,7:00:00,15.8,96,7.1,-1,-10
8/13/11,7:15:00,15.8,96,7.1,-1,-10
8/13/11,7:30:00,15.8,96,7.1,-1.1,-11
8/13/11,7:45:00,15.8,96,7.1,-1.1,-11
8/13/11,8:00:00,15.8,96,7.1,-1.1,-11
8/13/11,8:15:00,15.8,96,7.1,-1.1,-11
8/13/11,8:30:00,15.8,95,7.1,-1.1,-12
8/13/11,8:45:00,15.9,95,7.1,-1.1,-11
8/13/11,9:00:00,16,95,7.1,-1.1,-12
8/13/11,9:15:00,16.2,95,7.1,-1.1,-11
8/13/11,9:30:00,16.3,95,7.1,-1.1,-11
8/13/11,9:45:00,16.5,95,7.1,-1.1,-12
8/13/11,10:00:00,16.6,95,7.1,-1.1,-11
8/13/11,10:15:00,16.7,95,7.1,-1.1,-11
8/13/11,10:30:00,16.9,95,7.2,-1.2,-12
8/13/11,10:45:00,17.1,95,7.2,-1.1,-12
8/13/11,11:00:00,17.4,95,7.2,-1.2,-13
8/13/11,11:15:00,17.6,94,7.2,-1.1,-12
8/13/11,11:30:00,17.9,94,7.2,-0.9,-9
8/13/11,11:45:00,18.1,94,7.2,-1,-11
8/13/11,12:00:00,18.5,94,7.2,-1,-11
8/13/11,12:15:00,18.8,94,7.2,-1,-11
8/13/11,12:30:00,19.1,93,7.2,-1,-11
8/13/11,12:45:00,19.4,93,7.2,-1.1,-12
8/13/11,13:00:00,19.6,93,7.3,-1.1,-12
8/13/11,13:15:00,19.9,93,7.3,-1.1,-12
8/13/11,13:30:00,20.2,93,7.3,-1.1,-12
8/13/11,13:45:00,20.2,93,7.3,-1.1,-12
8/13/11,14:00:00,20.1,91,7.3,-1.2,-13
8/13/11,14:15:00,20.1,91,7.4,-1.2,-14
8/13/11,14:30:00,20.2,91,7.4,-1.3,-14
8/13/11,14:45:00,20.5,91,7.4,-1.3,-14
8/13/11,15:00:00,20.7,91,7.4,-1.2,-14
8/13/11,15:15:00,21,91,7.4,-1.3,-14
8/13/11,15:30:00,21.1,91,7.4,-1.3,-15
8/13/11,15:45:00,21.1,91,7.4,-1.4,-15
8/13/11,16:00:00,21.2,91,7.4,-1.4,-16
8/13/11,16:15:00,21.2,91,7.4,-1.4,-16
8/13/11,16:30:00,21.3,91,7.4,-1.5,-16
8/13/11,16:45:00,21.3,91,7.4,-1.5,-17
8/13/11,17:00:00,21.4,91,7.4,-1.5,-17
8/13/11,17:15:00,21.5,91,7.4,-1.6,-18
8/13/11,17:30:00,21.5,91,7.4,-1.6,-18
8/13/11,17:45:00,21.4,92,7.4,-1.6,-19
8/13/11,18:00:00,21.4,92,7.4,-1.7,-19
8/13/11,18:15:00,21.3,92,7.3,-1.7,-19
8/13/11,18:30:00,21.3,92,7.3,-1.7,-20
8/13/11,18:45:00,21.2,92,7.3,-1.7,-20
8/13/11,19:00:00,21.2,92,7.3,-1.7,-19
8/13/11,19:15:00,21.2,92,7.4,-1.8,-20
8/13/11,19:30:00,21.1,93,7.3,-1.8,-20
8/13/11,19:45:00,21,93,7.3,-1.8,-21
8/13/11,20:00:00,20.9,93,7.3,-1.8,-20
8/13/11,20:15:00,20.8,93,7.3,-1.8,-20
8/13/11,20:30:00,20.6,93,7.3,-1.8,-20
8/13/11,20:45:00,20.5,94,7.3,-1.8,-20
8/13/11,21:00:00,20.4,94,7.3,-1.8,-20
8/13/11,21:15:00,20.2,94,7.3,-1.9,-21
8/13/11,21:30:00,20.1,94,7.3,-1.9,-21
8/13/11,21:45:00,19.9,94,7.3,-1.9,-21
8/13/11,22:00:00,19.8,94,7.3,-1.9,-20
8/13/11,22:15:00,19.6,94,7.3,-1.9,-21
8/13/11,22:30:00,19.4,95,7.3,-1.9,-20
8/13/11,22:45:00,19.3,95,7.3,-1.9,-20
8/13/11,23:00:00,19.1,95,7.3,-2,-21
8/13/11,23:15:00,19,95,7.3,-1.9,-21
8/13/11,23:30:00,18.8,95,7.3,-2,-22
8/13/11,23:45:00,18.6,96,7.2,-2,-21
8/14/11,0:00:00,18.5,96,7.2,-2,-21
8/14/11,0:15:00,18.3,96,7.2,-2,-21
8/14/11,0:30:00,18.2,96,7.2,-2,-21
8/14/11,0:45:00,18,96,7.2,-2,-21
8/14/11,1:00:00,17.8,96,7.2,-1.9,-20
8/14/11,1:15:00,17.7,97,7.2,-2,-21
8/14/11,1:30:00,17.5,97,7.2,-1.9,-20
8/14/11,1:45:00,17.4,97,7.2,-1.9,-20
8/14/11,2:00:00,17.2,97,7.2,-1.9,-20
8/14/11,2:15:00,17.1,97,7.2,-1.9,-20
8/14/11,2:30:00,16.9,97,7.2,-1.9,-20
8/14/11,2:45:00,16.8,97,7.2,-1.9,-20
8/14/11,3:00:00,16.6,97,7.2,-1.9,-20
8/14/11,3:15:00,16.5,97,7.2,-1.9,-20
8/14/11,3:30:00,16.3,97,7.2,-2,-20
8/14/11,3:45:00,16.2,97,7.2,-2,-21
8/14/11,4:00:00,16.1,97,7.2,-2.1,-22
8/14/11,4:15:00,15.9,97,7.2,-2.2,-22
8/14/11,4:30:00,15.8,96,7.2,-2.2,-22
8/14/11,4:45:00,15.7,96,7.2,-2.2,-23
8/14/11,5:00:00,15.6,96,7.2,-2.2,-23
8/14/11,5:15:00,15.4,96,7.2,-2.3,-23
8/14/11,5:30:00,15.3,96,7.2,-2.3,-23
8/14/11,5:45:00,15.2,96,7.2,-2.4,-24
8/14/11,6:00:00,15.1,96,7.2,-2.3,-23
8/14/11,6:15:00,15,96,7.2,-2.4,-24
8/14/11,6:30:00,14.9,96,7.2,-2.4,-23
8/14/11,6:45:00,14.8,96,7.2,-2.4,-23
8/14/11,7:00:00,14.8,96,7.2,-2.4,-24
8/14/11,7:15:00,14.8,96,7.2,-2.5,-24
8/14/11,7:30:00,14.7,96,7.2,-2.4,-24
8/14/11,7:45:00,14.7,96,7.2,-2.5,-24
8/14/11,8:00:00,14.8,96,7.2,-2.5,-24
8/14/11,8:15:00,14.8,96,7.2,-2.4,-24
8/14/11,8:30:00,14.8,96,7.2,-2.5,-24
8/14/11,8:45:00,14.9,96,7.2,-2.5,-25
8/14/11,9:00:00,14.9,96,7.2,-2.5,-24
8/14/11,9:15:00,15,96,7.2,-2.5,-25
8/14/11,9:30:00,15.2,96,7.2,-2.5,-25
8/14/11,9:45:00,15.4,96,7.2,-2.6,-26
8/14/11,10:00:00,15.6,95,7.2,-2.6,-26
8/14/11,10:15:00,15.9,95,7.2,-2.6,-26
8/14/11,10:30:00,16.2,95,7.2,-2.6,-27
8/14/11,10:45:00,16.5,95,7.2,-2.7,-27
8/14/11,11:00:00,16.8,95,7.2,-2.7,-28
8/14/11,11:15:00,17,95,7.2,-2.7,-28
8/14/11,11:30:00,17.4,95,7.2,-2.7,-28
8/14/11,11:45:00,17.7,94,7.2,-2.7,-29
8/14/11,12:00:00,18,94,7.2,-2.7,-29
8/14/11,12:15:00,18.3,94,7.2,-2.8,-30
8/14/11,12:30:00,18.6,94,7.2,-2.9,-30
8/14/11,12:45:00,19,94,7.2,-2.9,-31
8/14/11,13:00:00,19.3,94,7.3,-2.9,-31
8/14/11,13:15:00,19.7,93,7.3,-2.9,-32
8/14/11,13:30:00,19.9,93,7.3,-3.1,-34
8/14/11,13:45:00,20.4,93,7.3,-3.1,-34
8/14/11,14:00:00,20.6,93,7.3,-3.1,-34
8/14/11,14:15:00,20.7,93,7.3,-3.1,-34
8/14/11,14:30:00,21,93,7.3,-3.1,-35
8/14/11,14:45:00,21.2,92,7.3,-3.1,-35
8/14/11,15:00:00,21.5,92,7.4,-3.3,-37
8/14/11,15:15:00,21.8,92,7.4,-3.3,-38
8/14/11,15:30:00,22.1,92,7.4,-3.3,-38
8/14/11,15:45:00,22.3,92,7.4,-3.3,-38
8/14/11,16:00:00,22.4,92,7.4,-3.3,-38
8/14/11,16:15:00,22.6,92,7.4,-3.4,-39
8/14/11,16:30:00,22.7,92,7.4,-3.4,-39
8/14/11,16:45:00,22.8,92,7.4,-3.3,-38
8/14/11,17:00:00,23,92,7.4,-3.3,-39
8/14/11,17:15:00,23.1,92,7.4,-4.7,-54
8/14/11,17:30:00,23,92,7.4,-3.3,-38
8/14/11,17:45:00,23,92,7.4,-3.3,-39
8/14/11,18:00:00,22.9,92,7.4,-3.3,-39
8/14/11,18:15:00,22.9,92,7.4,-3.3,-39
8/14/11,18:30:00,22.9,93,7.4,-3.3,-39
8/14/11,18:45:00,22.8,93,7.4,-3.3,-39
8/14/11,19:00:00,22.7,93,7.4,-3.4,-39
8/14/11,19:15:00,22.6,93,7.4,-3.3,-38
8/14/11,19:30:00,22.6,93,7.4,-3.3,-38
8/14/11,19:45:00,22.4,93,7.4,-3.2,-37
8/14/11,20:00:00,22.3,94,7.4,-3.2,-37
8/14/11,20:15:00,22.2,94,7.4,-3.2,-37
8/14/11,20:30:00,22,94,7.4,-3.1,-35
8/14/11,20:45:00,21.9,94,7.4,-3.2,-36
8/14/11,21:00:00,21.7,94,7.3,-3.2,-36
8/14/11,21:15:00,21.5,95,7.3,-3.1,-36
8/14/11,21:30:00,21.4,95,7.3,-3,-34
8/14/11,21:45:00,21.2,95,7.3,-2.9,-33
8/14/11,22:00:00,21,95,7.3,-2.9,-33
8/14/11,22:15:00,20.8,95,7.3,-3.1,-35
8/14/11,22:30:00,20.6,96,7.3,-3.3,-37
8/14/11,22:45:00,20.4,96,7.3,-3.1,-34
8/14/11,23:00:00,20.2,96,7.3,-3,-33
8/14/11,23:15:00,20,96,7.2,-2.9,-32
8/14/11,23:30:00,19.9,96,7.2,-3,-33
8/14/11,23:45:00,19.7,97,7.2,-2.9,-32
8/15/11,0:00:00,19.5,97,7.2,-2.9,-32
8/15/11,0:15:00,19.3,97,7.2,-2.9,-31
8/15/11,0:30:00,19.1,97,7.2,-2.9,-31
8/15/11,0:45:00,18.9,97,7.2,-2.9,-32
8/15/11,1:00:00,18.7,97,7.2,-3,-32
8/15/11,1:15:00,18.6,98,7.2,-3,-32
8/15/11,1:30:00,18.4,98,7.2,-3,-32
8/15/11,1:45:00,18.2,98,7.2,-3.1,-33
8/15/11,2:00:00,18,98,7.2,-3.1,-33
8/15/11,2:15:00,17.9,98,7.2,-3.1,-33
8/15/11,2:30:00,17.7,98,7.2,-3.1,-32
8/15/11,2:45:00,17.6,98,7.2,-3,-32
8/15/11,3:00:00,17.4,98,7.2,-3,-32
8/15/11,3:15:00,17.3,98,7.2,-3.1,-32
8/15/11,3:30:00,17.1,98,7.2,-3.1,-32
8/15/11,3:45:00,17,98,7.2,-3,-32
8/15/11,4:00:00,16.9,98,7.2,-3.1,-32
8/15/11,4:15:00,16.8,98,7.2,-3,-31
8/15/11,4:30:00,16.7,98,7.2,-3.1,-31
8/15/11,4:45:00,16.6,98,7.2,-3,-31
8/15/11,5:00:00,16.5,98,7.1,-3.1,-31
8/15/11,5:15:00,16.4,97,7.2,-3,-31
8/15/11,5:30:00,16.3,97,7.2,-3,-31
8/15/11,5:45:00,16.1,97,7.1,-3,-31
8/15/11,6:00:00,16.1,97,7.1,-3,-31
8/15/11,6:15:00,16,97,7.1,-3.1,-31
8/15/11,6:30:00,15.9,97,7.1,-3.1,-31
8/15/11,6:45:00,15.8,97,7.1,-3.2,-32
8/15/11,7:00:00,15.7,97,7.2,-3.1,-31
8/15/11,7:15:00,15.7,97,7.2,-3,-31
8/15/11,7:30:00,15.6,97,7.2,-3.1,-31
8/15/11,7:45:00,15.6,97,7.1,-3.1,-31
8/15/11,8:00:00,15.6,97,7.2,-3.1,-32
8/15/11,8:15:00,15.6,97,7.2,-3.2,-32
8/15/11,8:30:00,15.6,97,7.1,-3.2,-32
8/15/11,8:45:00,15.7,97,7.1,-3.1,-32
8/15/11,9:00:00,15.8,97,7.1,-3.1,-31
8/15/11,9:15:00,15.9,97,7.2,-3.2,-32
8/15/11,9:30:00,16.1,96,7.1,-3.1,-32
8/15/11,9:45:00,16.4,96,7.1,-3.1,-32
8/15/11,10:00:00,16.6,96,7.1,-3.1,-32
8/15/11,10:15:00,16.9,96,7.1,-3.1,-32
8/15/11,10:30:00,17.1,96,7.1,-3.1,-33
8/15/11,10:45:00,17.4,96,7.1,-3.2,-33
8/15/11,11:00:00,17.7,96,7.1,-3.2,-34
8/15/11,11:15:00,18,96,7.1,-3.2,-34
8/15/11,11:30:00,18.2,95,7.2,-3.3,-35
8/15/11,11:45:00,18.4,95,7.2,-3.3,-35
8/15/11,12:00:00,18.7,95,7.2,-3.3,-35
8/15/11,12:15:00,19.1,95,7.2,-3.3,-36
8/15/11,12:30:00,19.4,95,7.2,-3.3,-36
8/15/11,12:45:00,19.8,94,7.2,-3.3,-36
8/15/11,13:00:00,20.1,94,7.2,-3.4,-37
8/15/11,13:15:00,20.5,94,7.2,-3.3,-37
8/15/11,13:30:00,20.8,94,7.2,-3.5,-39
8/15/11,13:45:00,21,93,7.3,-3.4,-38
8/15/11,14:00:00,21.3,93,7.3,-3.4,-38
8/15/11,14:15:00,21.6,93,7.3,-3.5,-39
8/15/11,14:30:00,21.9,93,7.3,-3.4,-39
8/15/11,14:45:00,22.2,93,7.3,-3.5,-40
